2021.2.19 15:16,Start,,,,,,,
6.369,-0.567443,7.522811,6.447782,9.924141,-0.54,7.536,6.417,9.913
6.378,-0.553077,7.537177,6.409474,9.909404,-0.554,7.531,6.429,9.917
6.387,-0.541106,7.558725,6.349617,9.886595,-0.556,7.535,6.414,9.911
6.397,-0.52674,7.59464,6.287365,9.873549,-0.547,7.553,6.374,9.898
6.409,-0.531529,7.625765,6.232297,9.862877,-0.538,7.579,6.32,9.883
6.417,-0.533923,7.647314,6.203566,9.861577,-0.533,7.607,6.268,9.871
6.427,-0.514769,7.661679,6.215538,9.879232,-0.527,7.632,6.235,9.869
6.437,-0.471672,7.659285,6.268211,9.908461,-0.513,7.649,6.23,9.878
6.448,-0.457306,7.654497,6.292154,9.919257,-0.494,7.656,6.245,9.892
6.457,-0.500403,7.642525,6.251451,9.886316,-0.486,7.654,6.257,9.898
6.468,-0.600963,7.635343,6.177229,9.839602,-0.508,7.648,6.247,9.888
6.477,-0.730254,7.62816,6.07667,9.77998,-0.572,7.64,6.199,9.856
6.488,-0.833208,7.625765,6.043149,9.765562,-0.666,7.633,6.137,9.818
6.497,-0.864333,7.623371,6.071881,9.784201,-0.757,7.628,6.092,9.792
6.507,-0.811659,7.613794,6.158075,9.826013,-0.81,7.623,6.087,9.789
6.517,-0.718282,7.620977,6.282577,9.902828,-0.807,7.621,6.139,9.82
6.528,-0.668003,7.654497,6.371165,9.981448,-0.766,7.628,6.221,9.874
6.537,-0.699128,7.702382,6.392714,10.034055,-0.724,7.648,6.301,9.936
6.548,-0.792505,7.764633,6.352011,10.063083,-0.719,7.686,6.35,9.995
6.557,-0.90743,7.829278,6.258635,10.06437,-0.767,7.738,6.344,10.036
6.568,-1.043904,7.884347,6.141315,10.048304,-0.861,7.795,6.286,10.052
6.577,-1.15404,7.922655,6.021601,10.017982,-0.974,7.85,6.193,10.048
6.588,-1.20432,7.920261,5.913859,9.957643,-1.077,7.889,6.084,10.022
6.597,-1.163618,7.872375,5.846819,9.874897,-1.141,7.9,5.981,9.975
6.608,-1.043904,7.786181,5.85879,9.799989,-1.141,7.875,5.91,9.913
6.618,-0.89067,7.678439,5.90907,9.729791,-1.076,7.814,5.882,9.841
6.627,-0.708705,7.551543,5.985687,9.662117,-0.952,7.722,5.9,9.767
6.637,-0.509981,7.448589,6.081458,9.629418,-0.788,7.616,5.959,9.705
6.649,-0.33041,7.439012,6.217932,9.701069,-0.61,7.529,6.049,9.681
6.657,-0.244216,7.592246,6.383137,9.92201,-0.448,7.508,6.167,9.729
6.668,-0.421392,7.937021,6.462148,10.243692,-0.377,7.604,6.286,9.874
6.677,-0.902642,8.590658,6.126949,10.590263,-0.475,7.89,6.298,10.114
6.689,-1.690358,9.452597,5.286559,10.961596,-0.815,8.393,6.065,10.429
6.698,-2.571451,10.225947,4.482082,11.457374,-1.396,9.052,5.589,10.813
6.708,-3.335225,10.870008,4.132518,12.097872,-2.125,9.785,5.007,11.277
6.718,-3.902668,11.27464,4.410254,12.720011,-2.875,10.456,4.578,11.809
6.728,-4.479688,11.394354,5.221913,13.310421,-3.572,10.941,4.562,12.396
6.738,-4.860378,11.356046,6.30652,13.86922,-4.144,11.224,5.018,12.999
6.748,-4.91784,11.236332,7.479714,14.366156,-4.54,11.315,5.855,13.566
6.757,-4.529968,11.126195,8.526012,14.731114,-4.697,11.278,6.884,14.069
6.768,-3.766194,11.006481,9.191621,14.826083,-4.519,11.181,7.876,14.448
6.777,-2.971295,10.867614,9.488511,14.729748,-4.046,11.059,8.671,14.663
6.787,-2.241041,10.7479,9.450203,14.48606,-3.377,10.937,9.164,14.693
6.797,-1.699935,10.68086,9.198804,14.198188,-2.67,10.826,9.332,14.56
6.809,-1.513182,10.642551,8.839663,13.917372,-2.106,10.735,9.244,14.333
6.818,-1.573039,10.659311,8.475733,13.708881,-1.757,10.683,8.991,14.078
6.828,-1.824437,10.530021,8.159689,13.445833,-1.653,10.628,8.668,13.818
6.837,-2.12851,10.252285,7.901107,13.117446,-1.76,10.521,8.344,13.547
6.851,-2.413429,9.802161,7.788576,12.750252,-1.985,10.311,8.081,13.256
6.857,-2.528354,9.105427,7.817307,12.264243,-2.224,9.922,7.917,12.894
6.867,-2.44216,7.992089,8.147717,11.671458,-2.378,9.288,7.914,12.451
6.877,-2.202733,6.3568,8.837268,11.106675,-2.397,8.314,8.148,11.948
6.889,-1.56825,4.237866,9.809344,10.8001,-2.185,6.923,8.653,11.461
6.897,-0.514769,2.183579,10.197216,10.441083,-1.682,5.193,9.248,11.005
6.908,0.933767,0.098165,9.325701,9.372847,-0.838,3.219,9.542,10.43
6.917,2.578634,-1.922603,7.757451,8.397845,0.357,1.149,9.272,9.753
6.928,4.929812,-3.909851,6.124555,8.78067,1.982,-0.888,8.351,9.248
6.937,7.831673,-5.660066,4.970514,10.866345,4.068,-2.849,7.045,9.354
6.947,10.822123,-7.089447,4.37434,13.656993,6.541,-4.645,5.807,10.425
6.957,12.87641,-8.200391,4.261809,15.849649,9.115,-6.215,4.933,12.288
6.968,13.336111,-9.014444,4.041536,16.596568,11.217,-7.491,4.412,14.242
6.977,12.546,-9.304152,3.488458,16.004333,12.395,-8.402,4.042,15.527
6.988,11.133378,-8.954588,2.552297,14.51382,12.473,-8.868,3.586,15.741
6.997,9.081485,-7.70717,1.546702,12.011084,11.524,-8.745,2.907,14.781
7.009,5.966533,-5.16924,1.022355,7.960261,9.682,-7.784,2.152,12.622
7.017,2.109356,-1.924997,1.142069,3.075601,7.073,-5.939,1.566,9.39
7.027,-2.130905,2.035134,2.130905,3.636383,3.757,-3.192,1.461,6.671
7.037,-5.897099,6.325674,3.756617,9.428791,0.012,0.317,2.013,6.025
7.049,-8.870789,11.24112,5.868368,15.47551,-3.697,4.419,3.224,7.904
7.057,-11.652935,16.226,7.937021,21.49582,-7.138,8.957,4.923,12.509
7.068,-14.933092,20.858923,9.62259,27.398652,-10.338,13.663,6.796,18.45
7.077,-18.009735,24.622723,10.836488,32.373731,-13.367,18.237,8.566,24.186
7.089,-20.162188,26.976294,11.44224,35.569073,-16.189,22.171,9.96,29.209
7.097,-21.419182,28.070478,11.55477,37.15166,-18.631,25.132,10.864,33.123
7.107,-21.740015,28.013016,11.092675,37.153799,-20.333,26.921,11.232,35.562
7.117,-20.945116,26.772781,10.125388,35.46834,-21.067,27.458,11.054,36.336
7.129,-18.981812,24.459911,9.150918,32.285224,-20.772,26.829,10.481,35.515
7.137,-16.49416,21.570023,8.645726,28.496873,-19.54,25.204,9.754,33.351
7.148,-13.606664,18.12466,8.6984,24.275643,-17.507,22.732,9.155,30.132
7.157,-10.589877,14.3441,8.918674,19.935934,-14.918,19.625,8.853,26.248
7.168,-7.506052,10.348056,9.083879,15.682471,-12.049,16.097,8.837,22.098
7.177,-4.632922,6.273,9.06233,11.955765,-9.084,12.272,8.941,17.962
7.189,-1.78134,2.171607,8.710372,9.152029,-6.128,8.284,8.944,14.182
7.197,1.2546,-1.86514,7.980118,8.29066,-3.166,4.232,8.709,11.27
7.208,4.790944,-5.873156,6.833261,10.204928,-0.092,0.177,8.147,9.901
7.217,8.595447,-9.452597,5.844425,14.049576,3.215,-3.755,7.342,10.424
7.228,12.349669,-12.440652,5.418244,18.347794,6.748,-7.408,6.519,12.723
7.237,15.526872,-14.779859,5.85879,22.222812,10.316,-10.637,5.989,16.206
7.249,16.996958,-16.496553,6.919454,24.676136,13.367,-13.292,6.01,19.824
7.257,16.618662,-17.571583,7.889135,25.439711,15.373,-15.322,6.521,22.672
7.268,14.681693,-17.820587,8.18842,24.498483,15.956,-16.667,7.214,24.209
7.277,12.083905,-17.190893,7.54436,22.326328,15.095,-17.27,7.635,24.235
7.289,9.519637,-15.660952,6.387925,19.40862,13.226,-17.061,7.502,22.918
7.297,7.242682,-13.465402,5.435004,16.226914,10.882,-16.034,6.889,20.615
7.308,4.925023,-10.273833,5.233885,12.537984,8.443,-14.148,6.15,17.625
7.317,1.963305,-5.868368,5.7295,8.433236,5.913,-11.317,5.697,14.152
7.329,-2.185973,-0.079011,6.723124,7.070015,2.986,-7.422,5.78,11.067
7.338,-6.895512,5.983293,7.685622,11.933845,-0.548,-2.559,6.343,9.994
7.347,-11.643358,12.071934,8.554744,18.82772,-4.69,3.027,7.173,11.566
7.357,-15.785454,17.557217,9.064724,25.290425,-9.128,8.883,8.007,15.781
7.368,-19.288279,22.240419,9.11261,30.817424,-13.403,14.463,8.604,21.717
7.377,-22.175774,25.798311,8.624178,35.095501,-17.223,19.417,8.839,27.508
7.387,-24.122318,27.890907,7.726325,37.676053,-20.343,23.372,8.632,32.22
7.397,-24.634693,28.563698,6.809318,38.329098,-22.555,26.123,8.068,35.48
7.408,-23.925987,27.809502,5.988081,37.170936,-23.715,27.516,7.287,37.068
7.417,-22.522943,26.088018,5.533169,34.906785,-23.801,27.588,6.514,37.021
7.428,-20.518934,23.461498,5.755836,31.695397,-22.901,26.481,6.022,35.526
7.437,-18.083958,20.056841,6.593833,27.799011,-21.263,24.354,5.968,32.893
7.449,-14.990555,15.900379,8.061523,23.292209,-19.029,21.377,6.486,29.423
7.457,-11.492519,11.494913,9.519637,18.837052,-16.271,17.728,7.483,25.406
7.468,-7.412675,6.952974,10.458193,14.583051,-12.995,13.601,8.658,21.128
7.477,-3.325648,2.882707,9.871595,10.808253,-9.305,9.308,9.478,16.88
7.489,0.476461,-1.108549,7.953781,8.044783,-5.439,5.056,9.451,13.068
7.497,3.972102,-4.800521,6.435811,8.957804,-1.572,0.982,8.68,10.598
7.507,7.515629,-8.097438,6.375954,12.755625,2.16,-2.781,7.659,10.142
7.518,10.795785,-11.001693,7.733508,17.245096,5.69,-6.252,7.125,11.751
7.529,13.443853,-13.20682,9.522031,21.114601,8.932,-9.277,7.517,15.018
7.537,15.033651,-14.633807,10.568329,23.491457,11.697,-11.735,8.55,18.652
7.547,15.182096,-15.251531,10.30017,23.857886,13.614,-13.523,9.531,21.427
7.557,14.346495,-15.074354,8.940222,22.649187,14.502,-14.542,9.833,22.778
7.569,12.668108,-14.01369,6.749461,20.060401,14.308,-14.743,9.14,22.515
7.578,10.575512,-12.387978,4.745453,16.96534,13.193,-14.182,7.684,20.883
7.587,7.953781,-10.05356,3.73028,13.351093,11.386,-12.882,6.041,18.257
7.597,4.913052,-7.00086,3.8476,9.378387,9.028,-10.864,4.768,14.939
7.609,1.53473,-2.844398,4.4749,5.52003,6.244,-8.072,4.2,11.304
7.618,-2.078231,1.836409,5.099805,5.805123,3.081,-4.516,4.288,8.514
7.628,-5.952167,7.051139,5.904282,10.954789,-0.396,-0.239,4.832,7.915
7.637,-9.675264,12.261082,7.115785,17.163311,-4.043,4.576,5.649,9.861
7.649,-13.077529,17.18371,8.621783,23.251599,-7.696,9.583,6.685,14.294
7.657,-16.281069,21.500587,10.046377,28.779823,-11.247,14.499,7.922,20.037
7.668,-19.249969,24.95792,10.549175,33.237692,-14.571,18.976,9.083,25.608
7.677,-21.59157,27.289944,10.357633,36.307264,-17.55,22.733,9.894,30.394
7.688,-22.597166,28.247654,9.754275,37.466088,-19.93,25.499,10.177,33.948
7.697,-22.381681,28.051323,9.014444,37.001036,-21.455,27.137,9.919,36.003
7.708,-21.040888,26.753626,8.305739,35.035137,-21.903,27.586,9.358,36.452
7.717,-19.008148,24.488644,8.020821,32.020882,-21.257,26.885,8.774,35.381
7.729,-16.527679,21.522137,8.2387,28.359174,-19.74,25.204,8.395,33.104
7.737,-13.860456,18.261133,8.638543,24.499096,-17.609,22.756,8.301,29.979
7.747,-11.040001,14.770281,8.885154,20.469215,-15.109,19.761,8.446,26.337
7.757,-8.296163,11.186052,8.739103,16.441594,-12.431,16.435,8.625,22.442
7.769,-5.870762,7.465349,8.277008,12.597863,-9.767,12.921,8.635,18.502
7.777,-3.586624,3.641692,7.587457,9.148513,-7.198,9.266,8.372,14.664
7.788,-0.988836,-0.256187,6.751855,6.828687,-4.686,5.509,7.839,11.254
7.797,2.135693,-3.917034,6.129344,7.581107,-2.078,1.733,7.186,9.039
7.808,5.894704,-7.079871,6.23948,11.12669,0.864,-1.903,6.677,8.671
7.817,9.368797,-9.613013,7.070293,15.171468,4.103,-5.217,6.548,10.177
7.827,12.110242,-11.633781,8.475733,18.810658,7.377,-8.061,6.979,13.172
7.837,13.721589,-13.13978,9.905115,21.425386,10.274,-10.367,7.923,16.634
7.848,14.205233,-14.006508,10.453403,22.52209,12.351,-12.098,8.976,19.482
7.857,13.819755,-14.257907,9.90272,22.188677,13.464,-13.259,9.684,21.237
7.868,12.941055,-13.728772,8.432636,20.665417,13.672,-13.783,9.673,21.7
7.877,11.803775,-12.505298,6.478908,18.376284,13.192,-13.625,8.817,20.938
7.888,10.185245,-10.558752,4.819675,15.442011,12.187,-12.763,7.408,19.168
7.898,7.992089,-8.286585,3.557892,12.049879,10.731,-11.27,5.822,16.633
7.907,5.061497,-5.770202,2.94017,8.219403,8.761,-9.28,4.449,13.522
7.918,2.018374,-3.038335,3.03594,4.745761,6.314,-6.913,3.588,10.114
7.928,-0.56026,0.110137,3.723097,3.766627,3.628,-4.246,3.314,7.195
7.937,-2.734262,3.359168,4.867561,6.515623,0.946,-1.335,3.642,5.812
7.947,-4.800521,6.751855,6.431022,10.48764,-1.519,1.796,4.514,6.379
7.957,-6.929031,9.905115,7.89153,14.436032,-3.756,5.032,5.728,8.801
7.969,-9.009656,12.641771,8.540379,17.717966,-5.868,8.164,6.933,12.289
7.977,-10.7479,14.899572,8.214757,20.124534,-7.872,11.05,7.769,15.692
7.987,-11.81814,16.704855,6.739883,21.544063,-9.626,13.538,7.847,18.456
7.997,-12.399949,18.016918,4.714327,22.373935,-10.994,15.566,7.052,20.44
8.009,-12.814158,18.622669,2.944958,22.796475,-11.945,17.061,5.653,21.71
8.017,-12.957815,18.699286,2.114145,22.848147,-12.498,18.011,4.128,22.391
8.028,-12.66332,18.16297,2.382303,22.269452,-12.709,18.375,3.039,22.572
8.037,-11.873209,17.152584,3.541132,21.159487,-12.577,18.159,2.746,22.268
8.05,-10.616215,15.890801,5.128537,19.786952,-12.028,17.476,3.292,21.516
8.058,-9.134158,14.62423,6.58665,18.457653,-11.072,16.458,4.41,20.418
8.067,-7.489292,13.431882,7.54436,17.129574,-9.778,15.275,5.7,19.133
8.077,-6.038361,12.438257,7.922655,15.935511,-8.32,14.096,6.796,17.827
8.089,-5.255433,11.631387,7.843644,14.981038,-6.979,13.031,7.474,16.626
8.097,-4.953754,11.056761,7.599428,14.301851,-5.934,12.14,7.728,15.587
8.109,-4.941783,10.621003,7.23071,13.766267,-5.297,11.437,7.649,14.746
8.117,-4.850801,10.290593,6.86678,13.288313,-5,10.9,7.385,14.084
8.128,-4.623344,10.027223,6.512427,12.819213,-4.842,10.499,7.052,13.544
8.137,-4.307301,9.955395,6.270606,12.529294,-4.681,10.224,6.72,13.101
8.147,-4.314483,9.955395,6.203566,12.498356,-4.524,10.057,6.463,12.784
8.157,-4.731087,9.960183,6.284971,12.692096,-4.494,9.975,6.318,12.635
8.169,-5.329656,9.878778,6.495667,12.968777,-4.671,9.937,6.314,12.672
8.177,-5.818088,9.692024,6.701575,13.141408,-5.048,9.872,6.421,12.825
8.187,-6.079064,9.419077,6.919454,13.173947,-5.489,9.738,6.6,12.994
8.197,-6.126949,9.09585,7.039168,13.031649,-5.838,9.521,6.789,13.079
8.209,-5.988081,8.827691,6.912271,12.710812,-6.003,9.259,6.893,13.014
8.217,-5.954561,8.545167,6.622564,12.342408,-6.037,8.972,6.873,12.815
8.227,-5.880339,8.197997,6.208354,11.846063,-5.987,8.667,6.696,12.483
8.237,-5.588237,7.733508,5.751048,11.140471,-5.853,8.326,6.374,12.01
8.248,-5.00164,7.053534,5.454158,10.223335,-5.606,7.883,6.009,11.388
8.257,-4.108575,6.282577,5.430215,9.264902,-5.145,7.317,5.711,10.619
8.268,-2.995238,5.401484,5.569083,8.31638,-4.423,6.618,5.551,9.736
8.277,-1.867534,4.336032,5.779779,7.462889,-3.493,5.768,5.558,8.817
8.288,-0.57702,3.081432,6.134132,6.888813,-2.387,4.775,5.728,7.983
8.297,0.912219,1.637684,6.565102,6.827497,-1.132,3.614,6.012,7.374
8.307,2.944958,-0.057463,7.072688,7.661527,0.353,2.249,6.388,7.21
8.317,5.832453,-1.726272,7.357606,9.546303,2.278,0.734,6.782,7.731
8.329,9.502876,-3.263397,7.206767,12.364947,4.798,-0.852,7.051,9.1
8.337,13.099077,-4.534757,7.005648,15.531547,7.845,-2.395,7.161,11.276
8.35,15.97939,-5.581055,6.847626,18.258671,11.103,-3.776,7.104,13.925
8.357,17.913963,-6.337646,6.957763,20.235768,14.124,-4.929,7.004,16.598
8.369,18.91477,-6.759038,7.209161,21.340692,16.477,-5.803,7.005,18.842
8.377,19.206873,-6.905088,7.273807,21.667775,18.004,-6.396,7.072,20.376
8.388,18.706469,-6.735095,7.034379,21.089712,18.686,-6.684,7.119,21.083
8.397,17.708057,-6.246663,6.476513,19.863064,18.634,-6.661,6.998,20.99
8.408,16.424725,-5.626546,5.590631,18.239648,18.012,-6.378,6.594,20.215
8.417,15.107874,-5.039948,4.831646,16.643129,16.987,-5.912,5.983,18.959
8.427,13.683281,-4.62095,4.453351,15.113494,15.731,-5.384,5.338,17.465
8.437,11.973768,-4.352792,4.618556,13.551715,14.297,-4.91,4.874,15.887
8.448,10.355239,-4.005622,5.427821,12.35869,12.78,-4.505,4.833,14.417
8.457,8.976136,-3.600989,6.447782,11.623771,11.247,-4.145,5.237,13.162
8.467,7.364789,-3.158048,7.534783,10.999379,9.667,-3.779,6.007,12.133
8.477,5.320079,-2.573845,8.348836,10.228929,8.004,-3.335,6.94,11.303
8.489,2.343995,-1.649655,8.597841,9.063032,6.001,-2.746,7.732,10.479
8.497,-0.864333,-0.471672,8.217151,8.275936,3.541,-1.963,8.175,9.642
8.508,-4.412649,0.787716,7.300144,8.56645,0.597,-0.977,8.116,9.034
8.517,-8.142929,2.121327,6.395108,10.569046,-2.769,0.197,7.628,9.119
8.529,-11.794198,3.459727,5.911465,13.63885,-6.304,1.474,6.956,10.263
8.537,-14.559586,4.647287,5.822876,16.35496,-9.727,2.754,6.357,12.282
8.547,-15.680106,5.7295,6.117372,17.779627,-12.544,3.989,6.062,14.586
8.558,-15.646585,6.725518,6.821289,18.346067,-14.42,5.141,6.168,16.53
8.568,-15.529266,7.850827,8.008849,19.155555,-15.354,6.238,6.693,17.909
8.577,-16.197269,8.818114,8.978531,20.511574,-15.763,7.281,7.482,18.948
8.587,-17.609892,9.780613,9.414289,22.235052,-16.246,8.294,8.306,20.062
8.597,-19.154198,10.810151,9.059936,23.787079,-17.123,9.315,8.865,21.422
8.608,-20.53809,11.839689,7.599428,24.894631,-18.375,10.312,8.763,22.857
8.618,-21.459885,12.713599,5.849213,25.619827,-19.691,11.286,7.981,24.134
8.628,-21.763958,13.247522,4.345609,25.846683,-20.729,12.153,6.714,25.037
8.637,-21.402422,13.350476,3.584229,25.478335,-21.291,12.788,5.345,25.46
8.65,-20.336969,12.933872,3.548315,24.361197,-21.241,13.061,4.332,25.327
8.657,-18.577179,12.052779,4.331243,22.564147,-20.52,12.896,3.952,24.563
8.668,-16.379234,10.922682,5.487678,20.437684,-19.174,12.315,4.238,23.21
8.677,-13.939468,9.522031,6.543553,18.105135,-17.308,11.358,4.978,21.367
8.689,-11.2914,7.884347,7.16367,15.523428,-15.047,10.095,5.882,19.158
8.697,-8.600235,6.162863,7.441406,12.935202,-12.553,8.623,6.659,16.75
8.709,-5.631334,4.479688,7.448589,10.356689,-9.866,7.012,7.149,14.23
8.717,-2.305687,3.033546,7.257047,8.196544,-6.957,5.39,7.328,11.753
8.728,1.096578,1.903448,7.036774,7.371688,-3.86,3.895,7.296,9.715
8.737,4.134912,1.134886,7.003254,8.21164,-0.676,2.638,7.186,8.534
8.748,6.402291,0.732648,7.158882,9.632014,2.332,1.701,7.114,8.353
8.757,7.630554,0.682368,7.223527,10.529497,4.816,1.113,7.106,8.936
8.768,8.013638,0.926584,6.960157,10.65461,6.545,0.869,7.086,9.757
8.777,7.872375,1.328822,6.507639,10.299972,7.48,0.918,6.963,10.279
8.787,7.551543,1.843592,6.150892,9.912523,7.767,1.195,6.711,10.349
8.798,7.266624,2.4254,5.94259,9.695399,7.676,1.631,6.39,10.141
8.809,6.919454,2.937775,5.777385,9.480905,7.402,2.134,6.095,9.847
8.817,6.550736,3.373533,5.736682,9.338222,7.072,2.645,5.902,9.607
8.828,6.138921,3.735069,5.810905,9.241412,6.719,3.118,5.817,9.439
8.837,5.755836,4.04393,6.000052,9.245737,6.341,3.523,5.831,9.327
8.849,5.195576,4.333637,6.153286,9.145346,5.91,3.872,5.925,9.243
8.858,4.16125,4.613768,6.241874,8.807034,5.313,4.182,6.052,9.11
8.868,2.672011,5.013611,6.234692,8.434887,4.446,4.501,6.157,8.908
8.877,1.096578,5.537958,6.079064,8.296172,3.281,4.875,6.177,8.671
8.888,-0.277736,6.124555,5.758231,8.410977,1.913,5.322,6.078,8.487
8.897,-1.252206,6.751855,5.456553,8.770948,0.56,5.857,5.882,8.478
8.907,-1.884294,7.340847,5.157268,9.167115,-0.579,6.439,5.613,8.661
8.917,-2.300898,7.84125,4.891503,9.523977,-1.429,7.015,5.316,8.968
8.929,-2.602577,8.253065,4.690384,9.843079,-2.01,7.547,5.049,9.326
8.937,-2.834821,8.566715,4.580248,10.119461,-2.406,8,4.83,9.663
8.948,-3.067066,8.79896,4.563488,10.375645,-2.701,8.365,4.681,9.966
8.957,-3.368745,8.923462,4.601796,10.590238,-2.968,8.636,4.609,10.232
8.969,-3.660846,8.971348,4.709538,10.773423,-3.233,8.815,4.614,10.465
8.977,-3.890697,8.956982,4.879532,10.916724,-3.497,8.913,4.689,10.664
8.987,-4.120547,8.865999,5.157268,11.053608,-3.76,8.929,4.837,10.834
8.997,-4.386312,8.775017,5.67922,11.335528,-4.015,8.892,5.106,11.02
9.008,-4.304906,8.564321,6.282577,11.460828,-4.176,8.791,5.5,11.192
9.017,-4.036747,8.430242,6.457359,11.360537,-4.212,8.659,5.894,11.303
9.027,-3.565075,8.327288,6.320886,11.045682,-4.073,8.524,6.185,11.301
9.037,-3.088614,8.18842,6.227509,10.741119,-3.749,8.378,6.322,11.152
9.049,-2.655251,8.107015,6.146103,10.514211,-3.336,8.263,6.288,10.915
9.057,-2.315264,8.051947,5.983293,10.295343,-2.906,8.169,6.169,10.649
9.067,-2.073442,8.028004,5.830059,10.135956,-2.533,8.094,6.047,10.422
9.077,-1.9657,8.016032,5.712739,10.037736,-2.252,8.051,5.918,10.246
9.088,-1.946545,8.016032,5.712739,10.034002,-2.075,8.028,5.81,10.126
9.097,-1.9657,8.016032,5.772596,10.071922,-1.988,8.019,5.757,10.07
9.108,-2.008796,7.994483,5.906676,10.140801,-1.972,8.011,5.776,10.071
9.117,-2.008796,7.989695,6.028784,10.208659,-1.982,8.004,5.855,10.114
9.128,-2.006402,7.989695,6.02639,10.206775,-1.997,7.997,5.934,10.157
9.138,-1.996825,8.004061,5.973716,10.185165,-2.005,7.994,5.984,10.185
9.147,-1.920208,8.013638,5.906676,10.138757,-1.983,7.999,5.984,10.185
9.159,-1.759792,8.008849,5.849213,10.07233,-1.921,8.004,5.939,10.151
9.169,-1.587404,7.989695,5.827665,10.015825,-1.816,8.004,5.889,10.103
9.177,-1.498816,7.956175,5.856396,9.992224,-1.692,7.992,5.86,10.055
9.186,-1.470085,7.915473,5.906676,9.985223,-1.579,7.968,5.86,10.016
9.196,-1.453325,7.884347,5.933013,9.973752,-1.502,7.936,5.881,9.992
9.207,-1.434171,7.87477,5.851608,9.915148,-1.464,7.908,5.887,9.967
9.216,-1.391074,7.879559,5.724711,9.838437,-1.437,7.889,5.854,9.928
9.227,-1.350371,7.893924,5.576266,9.758703,-1.407,7.883,5.771,9.872
9.236,-1.331217,7.929838,5.446975,9.712055,-1.377,7.895,5.65,9.806
9.247,-1.300091,7.939415,5.401484,9.690232,-1.343,7.911,5.537,9.75
9.256,-1.2546,7.922655,5.480495,9.71485,-1.309,7.921,5.476,9.719
9.267,-1.247417,7.886741,5.643306,9.777711,-1.283,7.92,5.493,9.724
9.276,-1.292908,7.848433,5.810905,9.850692,-1.274,7.899,5.584,9.758
9.288,-1.407834,7.80773,5.633729,9.730444,-1.301,7.866,5.642,9.768
9.296,-1.482056,7.903501,5.250645,9.603702,-1.358,7.862,5.585,9.741
9.306,-1.582616,7.956175,4.932206,9.49379,-1.441,7.879,5.407,9.67
9.316,-1.723878,8.025609,4.932206,9.576472,-1.549,7.923,5.187,9.601
9.327,-1.714301,8.035186,5.233885,9.741488,-1.626,7.98,5.087,9.604
9.336,-1.61853,8.05434,5.549929,9.91432,-1.66,8.018,5.162,9.682
9.346,-1.575433,8.068707,5.839636,10.084015,-1.658,8.046,5.389,9.829
9.356,-1.587404,8.080677,6.02639,10.204635,-1.624,8.06,5.662,9.986
9.367,-1.592193,8.078283,6.019207,10.199245,-1.593,8.071,5.859,10.101
9.376,-1.561067,8.061523,5.935407,10.131838,-1.579,8.072,5.955,10.155
9.387,-1.494027,8.006455,5.794145,9.995377,-1.559,8.057,5.944,10.133
9.398,-1.398257,7.927444,5.585843,9.798017,-1.511,8.018,5.834,10.031
9.427,-1.309668,7.843644,5.396696,9.610531,-1.441,7.96,5.678,9.884
9.427,-1.223474,7.77421,5.276982,9.475325,-1.356,7.888,5.513,9.72
9.427,-1.211503,7.735902,5.229096,9.415698,-1.286,7.82,5.372,9.575
9.47,-1.249811,7.762239,5.181211,9.415908,-1.249,7.779,5.271,9.479
9.47,-1.319245,7.836462,5.207548,9.501005,-1.251,7.777,5.224,9.452
9.47,-1.369525,7.917867,5.320079,9.636984,-1.288,7.813,5.234,9.492
9.47,-1.412622,7.989695,5.466129,9.783113,-1.338,7.877,5.294,9.584